"id","year","state_code","state_name","route_length","total_track"
161,"2017-2018",2,"Himachal Pradesh",296,358
162,"2017-2018",1,"Jammu and Kashmir",298,494
163,"2017-2018",20,"Jharkhand",2585,6432
164,"2017-2018",29,"Karnataka",3499,5543
165,"2017-2018",32,"Kerala",1045,2071
166,"2017-2018",23,"Madhya Pradesh",4829,9261
167,"2017-2018",27,"Maharashtra",5733,11220
168,"2017-2018",14,"Manipur",13,18
169,"2017-2018",17,"Meghalaya",9,13
170,"2017-2018",15,"Mizoram",2,6
171,"2017-2018",13,"Nagaland",11,22
172,"2017-2018",21,"Odisha",2608,5325
173,"2017-2018",3,"Punjab",2269,3631
174,"2017-2018",8,"Rajasthan",5929,8793
175,"2017-2018",33,"Tamil Nadu",4030,6739
176,"2017-2018",36,"Telangana",1823,3154
177,"2017-2018",16,"Tripura",216,273
178,"2017-2018",5,"Uttarakhand",341,189
179,"2017-2018",9,"Uttar Pradesh",10324,15904
180,"2017-2018",19,"West Bengal",4139,10558
181,"2017-2018",4,"Chandigarh",16,69
182,"2017-2018",34,"Puducherry",22,26
183,"2018-2019",28,"Andhra Pradesh",3822,7362
184,"2018-2019",12,"Arunachal Pradesh",12,26
185,"2018-2019",18,"Assam",2519,3619
186,"2018-2019",10,"Bihar",3720,7454
187,"2018-2019",22,"Chhatisgarh",1212,2961
188,"2018-2019",7,"Delhi",183,699
189,"2018-2019",30,"Goa",69,98
190,"2018-2019",24,"Gujarat",5320,7840
191,"2018-2019",6,"Haryana",1703,3218
192,"2018-2019",2,"Himachal Pradesh",312,376
193,"2018-2019",1,"Jammu and Kashmir",298,493
194,"2018-2019",20,"Jharkhand",2571,6114
195,"2018-2019",29,"Karnataka",3540,5898
196,"2018-2019",32,"Kerala",1045,2085
197,"2018-2019",23,"Madhya Pradesh",4899,9284
198,"2018-2019",27,"Maharashtra",5819,11399
199,"2018-2019",14,"Manipur",13,18
200,"2018-2019",17,"Meghalaya",9,13
201,"2018-2019",15,"Mizoram",2,6
202,"2018-2019",13,"Nagaland",11,22
203,"2018-2019",21,"Odisha",2622,5311
204,"2018-2019",3,"Punjab",2265,3622
205,"2018-2019",8,"Rajasthan",5937,8943
206,"2018-2019",33,"Tamil Nadu",4031,6766
207,"2018-2019",36,"Telangana",1823,3154
208,"2018-2019",16,"Tripura",226,288
209,"2018-2019",5,"Uttarakhand",341,527
210,"2018-2019",9,"Uttar Pradesh",8823,15593
211,"2018-2019",19,"West Bengal",4230,10244
212,"2018-2019",4,"Chandigarh",16,83
213,"2018-2019",34,"Puducherry",22,26
214,"2019-2020",28,"Andhra Pradesh",3965,7714
215,"2019-2020",12,"Arunachal Pradesh",12,26
216,"2019-2020",18,"Assam",2519,3662
